Facility Name,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date,Excess Readmission Ratio_standardized,Predicted Readmission Rate_standardized,Expected Readmission Rate_standardized
SPRINGHILL MEDICAL CENTER,LA,Pneumonia,71.0,1.0,15.76,15.8,11,07/01/2020,06/30/2023,-0.14412780647291057,-0.698888855436531,-0.7384377646041801
WINN PARISH MEDICAL CENTER,LA,Pneumonia,88.0,1.06,15.14,14.32,17,07/01/2020,06/30/2023,0.797322677491633,-0.9717472041183726,-1.53111711530337
AVOYELLES HOSPITAL,LA,Pneumonia,73.0,1.06,14.19,13.42,14,07/01/2020,06/30/2023,0.797322677491633,-1.3898366093566792,-2.013151855593418
"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",LA,Pneumonia,596.0,0.94,14.46,15.4,82,07/01/2020,06/30/2023,-1.0855782904374542,-1.2710111994468443,-0.9526754269553126
"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",LA,COPD,143.0,0.95,16.03,16.83,20,07/01/2020,06/30/2023,-0.9286698764433635,-0.580063445526696,-0.18677578405001552
WILLIS KNIGHTON MEDICAL CENTER,LA,Pneumonia,1054.0,1.04,16.45,15.84,176,07/01/2020,06/30/2023,0.4835058495034518,-0.39522391900028775,-0.7170139983690673
WILLIS KNIGHTON MEDICAL CENTER,LA,COPD,607.0,0.91,17.26,18.98,99,07/01/2020,06/30/2023,-1.5563035324197243,-0.03874768927078359,0.9647516510873221
CLAIBORNE MEMORIAL MEDICAL CENTER,LA,Pneumonia,136.0,0.96,13.91,14.54,16,07/01/2020,06/30/2023,-0.7717614624492729,-1.5130629603742851,-1.413286401010248
MOREHOUSE GENERAL HOSPITAL,LA,Pneumonia,64.0,1.03,14.13,13.71,11,07/01/2020,06/30/2023,0.32659743550936127,-1.4162422560033086,-1.8578295503888465
ST FRANCIS MEDICAL CENTER,LA,Pneumonia,384.0,1.01,15.38,15.17,60,07/01/2020,06/30/2023,0.012780607521180043,-0.8661246175318531,-1.0758620828072138
ST FRANCIS MEDICAL CENTER,LA,COPD,99.0,0.98,17.18,17.47,16,07/01/2020,06/30/2023,-0.45794463446109174,-0.07395521813295756,0.15600447571179654
FRANKLIN MEDICAL CENTER,LA,Pneumonia,88.0,0.98,13.92,14.19,11,07/01/2020,06/30/2023,-0.45794463446109174,-1.5086620192665134,-1.6007443555674885
MINDEN MEDICAL CENTER,LA,Pneumonia,141.0,1.0,15.59,15.58,22,07/01/2020,06/30/2023,-0.14412780647291057,-0.7737048542686489,-0.8562684788973032
GLENWOOD REGIONAL MEDICAL CENTER,LA,Pneumonia,362.0,1.05,16.8,16.03,64,07/01/2020,06/30/2023,0.6404142634975425,-0.24119098022827962,-0.6152511087522787
GLENWOOD REGIONAL MEDICAL CENTER,LA,COPD,124.0,1.0,17.61,17.56,22,07/01/2020,06/30/2023,-0.14412780647291057,0.11528524950122301,0.20420794974080125
BYRD REGIONAL HOSPITAL,LA,Pneumonia,135.0,0.99,16.81,16.98,22,07/01/2020,06/30/2023,-0.3010362204670012,-0.23679003912050883,-0.10643666066833976
BYRD REGIONAL HOSPITAL,LA,COPD,77.0,1.01,19.04,18.94,15,07/01/2020,06/30/2023,0.012780607521180043,0.744619827912568,0.9433278848522093
MERCY REGIONAL MEDICAL CENTER,LA,Pneumonia,255.0,1.0,14.93,14.95,38,07/01/2020,06/30/2023,-0.14412780647291057,-1.0641669673815775,-1.193692797100337
EAST JEFFERSON GENERAL HOSPITAL,LA,Pneumonia,256.0,1.01,16.86,16.65,44,07/01/2020,06/30/2023,0.012780607521180043,-0.2147853335816503,-0.2831827321080249
EAST JEFFERSON GENERAL HOSPITAL,LA,COPD,62.0,1.06,21.24,20.01,17,07/01/2020,06/30/2023,0.797322677491633,1.7128268716223294,1.5164136316414885
OCHSNER MEDICAL CENTER - BATON ROUGE,LA,Pneumonia,113.0,1.08,17.49,16.19,25,07/01/2020,06/30/2023,1.1111395054798143,0.062473956207962845,-0.5295560438118257
EAST CARROLL PARISH HOSPITAL,LA,COPD,58.0,1.14,19.24,16.9,19,07/01/2020,06/30/2023,2.0525899894443542,0.8326386500680005,-0.14928419313856722
OCHSNER MEDICAL CENTER-KENNER,LA,Pneumonia,86.0,0.97,14.86,15.26,11,07/01/2020,06/30/2023,-0.6148530484551824,-1.0949735551359792,-1.0276586087782091
ACADIAN MEDICAL CENTER,LA,Pneumonia,112.0,0.94,13.41,14.26,11,07/01/2020,06/30/2023,-1.0855782904374542,-1.7331100157628672,-1.5632527646560401
ST JOSEPH HOSPITAL,ME,Pneumonia,239.0,1.11,16.02,14.48,45,07/01/2020,06/30/2023,1.581864747462086,-0.5844643866344683,-1.445422050362917
ST JOSEPH HOSPITAL,ME,COPD,66.0,1.02,19.18,18.78,14,07/01/2020,06/30/2023,0.16968902151527065,0.8062330034213713,0.8576328199117562
NORTHERN LIGHT HEALTH,ME,Pneumonia,123.0,1.0,14.79,14.83,18,07/01/2020,06/30/2023,-0.14412780647291057,-1.1257801428903809,-1.2579640958056764
MAINE MEDICAL CENTER,ME,Pneumonia,428.0,0.9,14.29,15.91,54,07/01/2020,06/30/2023,-1.7132119464138147,-1.345827198278963,-0.6795224074576189
MAINE MEDICAL CENTER,ME,COPD,124.0,1.0,17.68,17.66,22,07/01/2020,06/30/2023,-0.14412780647291057,0.14609183725562463,0.25776736532858513
SOUTHERN MAINE HEALTH CARE,ME,Pneumonia,380.0,1.04,15.7,15.15,62,07/01/2020,06/30/2023,0.4835058495034518,-0.725294502083161,-1.0865739659247704
YORK HOSPITAL,ME,Pneumonia,163.0,0.99,13.14,13.22,21,07/01/2020,06/30/2023,-0.3010362204670012,-1.8519354256727014,-2.120270686768984
MID COAST HOSPITAL,ME,Pneumonia,220.0,0.96,13.17,13.79,26,07/01/2020,06/30/2023,-0.7717614624492729,-1.8387326023493868,-1.814982017918621
NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER,ME,Pneumonia,283.0,0.81,14.58,18.0,27,07/01/2020,06/30/2023,-3.1253876723606284,-1.2181999061535849,0.43986937832704753
NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER,ME,COPD,92.0,0.98,22.1,22.56,19,07/01/2020,06/30/2023,-0.45794463446109174,2.091307806890692,2.8821787291299557
MAINE GENERAL MEDICAL CENTER,ME,Pneumonia,268.0,0.85,12.86,15.08,24,07/01/2020,06/30/2023,-2.4977540163842678,-1.975161776690308,-1.1240655568362186
MAINE GENERAL MEDICAL CENTER,ME,COPD,92.0,1.02,18.54,18.25,18,07/01/2020,06/30/2023,0.16968902151527065,0.5245727725239858,0.5737679172965052
NORTHERN LIGHT MAINE COAST HOSPITAL,ME,Pneumonia,106.0,1.01,16.05,15.82,18,07/01/2020,06/30/2023,0.012780607521180043,-0.571261563311153,-0.7277258814866236
NORTHERN MAINE MEDICAL CENTER,ME,Pneumonia,60.0,1.04,15.87,15.29,12,07/01/2020,06/30/2023,0.4835058495034518,-0.6504785032510432,-1.0115907841018748
PENOBSCOT BAY MEDICAL CENTER,ME,Pneumonia,104.0,1.08,14.64,13.62,20,07/01/2020,06/30/2023,1.1111395054798143,-1.1917942595069548,-1.9060330244178523
MERITUS MEDICAL CENTER,MD,Pneumonia,798.0,1.16,18.91,16.33,161,07/01/2020,06/30/2023,2.3664068174325354,0.687407593511537,-0.454572861988931
MERITUS MEDICAL CENTER,MD,COPD,598.0,1.04,19.87,19.18,121,07/01/2020,06/30/2023,0.4835058495034518,1.1098979398576152,1.071870482262888
UNIVERSITY OF MARYLAND MEDICAL CENTER,MD,Pneumonia,117.0,0.99,18.69,18.93,21,07/01/2020,06/30/2023,-0.3010362204670012,0.5905868891405615,0.9379719432934301
UNIVERSITY OF MARYLAND MEDICAL CENTER,MD,COPD,83.0,1.02,22.69,22.28,20,07/01/2020,06/30/2023,0.16968902151527065,2.350963332249219,2.7322123654841644
UNIVERSITY OF MD CAPITAL REGION MEDICAL CENTER,MD,Pneumonia,178.0,0.91,16.43,17.99,23,07/01/2020,06/30/2023,-1.5563035324197243,-0.40402580121583087,0.43451343676826837
UNIVERSITY OF MD CAPITAL REGION MEDICAL CENTER,MD,COPD,115.0,1.05,23.22,22.06,30,07/01/2020,06/30/2023,0.6404142634975425,2.5842132109611153,2.6143816511910405
HOLY CROSS HOSPITAL,MD,Pneumonia,371.0,0.94,15.9,16.85,55,07/01/2020,06/30/2023,-1.0855782904374542,-0.6372756799277277,-0.17606390093245725
HOLY CROSS HOSPITAL,MD,COPD,98.0,0.93,16.44,17.62,12,07/01/2020,06/30/2023,-1.242486704431543,-0.39962486010805853,0.23634359909347233
FREDERICK HEALTH HOSPITAL,MD,Pneumonia,678.0,0.94,14.49,15.45,94,07/01/2020,06/30/2023,-1.0855782904374542,-1.2578083761235297,-0.9258957191614217
FREDERICK HEALTH HOSPITAL,MD,COPD,391.0,1.03,21.02,20.42,84,07/01/2020,06/30/2023,0.32659743550936127,1.6160061672513537,1.7360072355513991
MERCY MEDICAL CENTER INC,MD,Pneumonia,62.0,1.01,18.49,18.35,12,07/01/2020,06/30/2023,0.012780607521180043,0.5025680669851272,0.6273273328842891
MERCY MEDICAL CENTER INC,MD,COPD,43.0,1.02,21.95,21.43,11,07/01/2020,06/30/2023,0.16968902151527065,2.0252936902741165,2.2769573329880073
"JOHNS HOPKINS HOSPITAL, THE",MD,Pneumonia,291.0,0.95,17.8,18.8,48,07/01/2020,06/30/2023,-0.9286698764433635,0.1989031305488848,0.8683447030293127
"JOHNS HOPKINS HOSPITAL, THE",MD,COPD,143.0,0.95,23.13,24.23,30,07/01/2020,06/30/2023,-0.9286698764433635,2.5446047409911703,3.776620969445934
SAINT AGNES HOSPITAL,MD,Pneumonia,344.0,0.99,15.25,15.35,52,07/01/2020,06/30/2023,-0.3010362204670012,-0.9233368519328847,-0.9794551347492045
SAINT AGNES HOSPITAL,MD,COPD,298.0,1.01,19.54,19.3,59,07/01/2020,06/30/2023,0.012780607521180043,0.9646668833011502,1.1361417809682282
SINAI HOSPITAL OF BALTIMORE,MD,Pneumonia,410.0,0.89,15.34,17.23,55,07/01/2020,06/30/2023,-1.8701203604079053,-0.88372838196294,0.02746187830111797
SINAI HOSPITAL OF BALTIMORE,MD,COPD,165.0,0.97,19.83,20.38,31,07/01/2020,06/30/2023,-0.6148530484551824,1.0922941754265276,1.7145834693162845
MEDSTAR FRANKLIN SQUARE MEDICAL CENTER,MD,Pneumonia,799.0,0.94,16.41,17.43,127,07/01/2020,06/30/2023,-1.0855782904374542,-0.412827683431374,0.13458070947668377
MEDSTAR FRANKLIN SQUARE MEDICAL CENTER,MD,COPD,524.0,0.93,19.34,20.71,97,07/01/2020,06/30/2023,-1.242486704431543,0.8766480611457177,1.8913295407559698
ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,MD,Pneumonia,429.0,1.08,17.66,16.37,81,07/01/2020,06/30/2023,1.1111395054798143,0.13728995504008154,-0.43314909575381627
ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,MD,COPD,140.0,1.08,20.82,19.29,34,07/01/2020,06/30/2023,1.1111395054798143,1.5279873450959212,1.130785839409449
MEDSTAR MONTGOMERY MEDICAL CENTER,MD,Pneumonia,479.0,0.94,14.79,15.67,67,07/01/2020,06/30/2023,-1.0855782904374542,-1.1257801428903809,-0.8080650048682985
MEDSTAR MONTGOMERY MEDICAL CENTER,MD,COPD,102.0,0.93,17.95,19.25,14,07/01/2020,06/30/2023,-1.242486704431543,0.26491724716545884,1.109362073174336
"TIDALHEALTH PENINSULA REGIONAL, INC",MD,Pneumonia,678.0,0.96,15.86,16.45,105,07/01/2020,06/30/2023,-0.7717614624492729,-0.6548794443588147,-0.3903015632835907
"TIDALHEALTH PENINSULA REGIONAL, INC",MD,COPD,504.0,0.97,18.67,19.31,92,07/01/2020,06/30/2023,-0.6148530484551824,0.5817850069250183,1.1414977225270053
SUBURBAN HOSPITAL,MD,Pneumonia,562.0,1.02,15.28,15.02,87,07/01/2020,06/30/2023,0.16968902151527065,-0.9101340286095702,-1.1562012061888887
SUBURBAN HOSPITAL,MD,COPD,128.0,1.02,19.36,18.98,26,07/01/2020,06/30/2023,0.16968902151527065,0.8854499433612607,0.9647516510873221
"LUMINIS HEALTH ANNE ARUNDEL MEDICAL CENTER, INC",MD,Pneumonia,1122.0,1.0,15.67,15.63,176,07/01/2020,06/30/2023,-0.14412780647291057,-0.7384973254064757,-0.8294887711034112
"LUMINIS HEALTH ANNE ARUNDEL MEDICAL CENTER, INC",MD,COPD,533.0,1.0,19.15,19.18,102,07/01/2020,06/30/2023,-0.14412780647291057,0.7930301800980558,1.071870482262888
MEDSTAR UNION MEMORIAL HOSPITAL,MD,Pneumonia,195.0,0.95,17.69,18.6,31,07/01/2020,06/30/2023,-0.9286698764433635,0.15049277836339697,0.7612258718537468
MEDSTAR UNION MEMORIAL HOSPITAL,MD,COPD,193.0,1.02,22.8,22.46,45,07/01/2020,06/30/2023,0.16968902151527065,2.399373684434707,2.8286193135421738
WESTERN MARYLAND REGIONAL MEDICAL CENTER,MD,Pneumonia,573.0,0.88,15.25,17.28,79,07/01/2020,06/30/2023,-2.027028774401996,-0.9233368519328847,0.0542415860950099
WESTERN MARYLAND REGIONAL MEDICAL CENTER,MD,COPD,288.0,1.0,19.1,19.09,55,07/01/2020,06/30/2023,-0.14412780647291057,0.7710254745591989,1.0236670082338832
MEDSTAR SAINT MARY'S HOSPITAL,MD,Pneumonia,432.0,0.92,14.71,15.99,58,07/01/2020,06/30/2023,-1.3993951184256337,-1.1609876717525531,-0.6366748749873925
MEDSTAR SAINT MARY'S HOSPITAL,MD,COPD,220.0,0.92,17.45,19.05,33,07/01/2020,06/30/2023,-1.3993951184256337,0.04487019177687664,1.0022432419987704
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,MD,Pneumonia,296.0,0.91,16.86,18.63,43,07/01/2020,06/30/2023,-1.5563035324197243,-0.2147853335816503,0.7772936965300805
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,MD,COPD,283.0,1.03,23.62,22.87,69,07/01/2020,06/30/2023,0.32659743550936127,2.7602508552719818,3.0482129174520844
UNION HOSPITAL OF CECIL COUNTY,MD,Pneumonia,249.0,1.0,16.42,16.39,41,07/01/2020,06/30/2023,-0.14412780647291057,-0.40842674232360165,-0.4224372126362599
UNION HOSPITAL OF CECIL COUNTY,MD,COPD,252.0,1.13,23.05,20.41,66,07/01/2020,06/30/2023,1.8956815754502638,2.509397212128998,1.73065129399262
CARROLL HOSPITAL CENTER,MD,Pneumonia,920.0,0.99,15.59,15.68,143,07/01/2020,06/30/2023,-0.3010362204670012,-0.7737048542686489,-0.8027090633095203
CARROLL HOSPITAL CENTER,MD,COPD,368.0,0.9,16.14,17.96,53,07/01/2020,06/30/2023,-1.7132119464138147,-0.5316530933412081,0.41844561209193476
MEDSTAR HARBOR HOSPITAL,MD,Pneumonia,212.0,0.98,17.07,17.36,35,07/01/2020,06/30/2023,-0.45794463446109174,-0.1223655703184454,0.09708911856523546
MEDSTAR HARBOR HOSPITAL,MD,COPD,173.0,0.89,18.08,20.33,24,07/01/2020,06/30/2023,-1.8701203604079053,0.3221294815664898,1.6878037615223926
UNIVERSITY OF MD CHARLES REGIONAL  MEDICAL CENTER,MD,Pneumonia,362.0,0.99,17.66,17.91,63,07/01/2020,06/30/2023,-0.3010362204670012,0.13728995504008154,0.3916659042980428
UNIVERSITY OF MD CHARLES REGIONAL  MEDICAL CENTER,MD,COPD,192.0,0.9,16.48,18.39,25,07/01/2020,06/30/2023,-1.7132119464138147,-0.38202109567697234,0.6487510991194019
UNIVERSITY OF MD SHORE MEDICAL CENTER AT EASTON,MD,Pneumonia,356.0,0.83,13.8,16.55,37,07/01/2020,06/30/2023,-2.811570844372449,-1.5614733125597728,-0.3367421476958069
UNIVERSITY OF MD SHORE MEDICAL CENTER AT EASTON,MD,COPD,168.0,0.97,19.1,19.76,30,07/01/2020,06/30/2023,-0.6148530484551824,0.7710254745591989,1.3825150926720307
UNIVERSITY OF MD MEDICAL CENTER MIDTOWN CAMPUS,MD,Pneumonia,51.0,1.05,21.06,20.13,14,07/01/2020,06/30/2023,0.6404142634975425,1.63360993168244,1.5806849303468269
CALVERTHEALTH MEDICAL CENTER,MD,Pneumonia,434.0,1.05,17.5,16.75,79,07/01/2020,06/30/2023,0.6404142634975425,0.06687489731573518,-0.2296233165202411
CALVERTHEALTH MEDICAL CENTER,MD,COPD,92.0,0.95,17.49,18.41,13,07/01/2020,06/30/2023,-0.9286698764433635,0.062473956207962845,0.6594629822369583
NORTHWEST HOSPITAL CENTER,MD,Pneumonia,412.0,1.02,17.59,17.21,74,07/01/2020,06/30/2023,0.16968902151527065,0.10648336728567992,0.01674999518356158
NORTHWEST HOSPITAL CENTER,MD,COPD,162.0,1.03,20.97,20.31,36,07/01/2020,06/30/2023,0.32659743550936127,1.5940014617124951,1.6770918784048363
UNIVERSITY OF MD BALTIMORE WASHINGTON MEDICAL CENTER,MD,Pneumonia,558.0,0.93,15.34,16.42,81,07/01/2020,06/30/2023,-1.242486704431543,-0.88372838196294,-0.4063693879599244
UNIVERSITY OF MD BALTIMORE WASHINGTON MEDICAL CENTER,MD,COPD,266.0,0.89,18.61,20.97,42,07/01/2020,06/30/2023,-1.8701203604079053,0.5553793602783874,2.030584021284205
GREATER BALTIMORE MEDICAL CENTER,MD,Pneumonia,460.0,0.98,14.8,15.04,67,07/01/2020,06/30/2023,-0.45794463446109174,-1.1213792017826085,-1.1454893230713323
GREATER BALTIMORE MEDICAL CENTER,MD,COPD,141.0,0.96,18.09,18.84,23,07/01/2020,06/30/2023,-0.7717614624492729,0.32653042267426213,0.8897684692644254
JOHNS HOPKINS HOWARD COUNTY MEDICAL CENTER,MD,Pneumonia,682.0,1.08,16.54,15.32,118,07/01/2020,06/30/2023,1.1111395054798143,-0.35561544903034303,-0.9955229594255391
JOHNS HOPKINS HOWARD COUNTY MEDICAL CENTER,MD,COPD,218.0,0.94,18.36,19.59,36,07/01/2020,06/30/2023,-1.0855782904374542,0.44535583258409633,1.2914640861727986
UMD UPPER CHESAPEAKE MEDICAL CENTER,MD,Pneumonia,622.0,1.07,17.59,16.44,114,07/01/2020,06/30/2023,0.9542310914857236,0.10648336728567992,-0.395657504842368
UMD UPPER CHESAPEAKE MEDICAL CENTER,MD,COPD,296.0,1.02,18.8,18.38,57,07/01/2020,06/30/2023,0.16968902151527065,0.6389972413260492,0.6433951575606227
"LUMINIS HEALTH DOCTORS COMMUNITY MEDICAL CTR, INC",MD,Pneumonia,342.0,0.99,16.05,16.27,54,07/01/2020,06/30/2023,-0.3010362204670012,-0.571261563311153,-0.48670851134160015
"LUMINIS HEALTH DOCTORS COMMUNITY MEDICAL CTR, INC",MD,COPD,161.0,0.97,19.38,20.06,29,07/01/2020,06/30/2023,-0.6148530484551824,0.8942518255768038,1.5431933394353785
MEDSTAR GOOD SAMARITAN HOSPITAL,MD,Pneumonia,269.0,0.95,16.97,17.9,42,07/01/2020,06/30/2023,-0.9286698764433635,-0.16637498139616247,0.38630996273926366
MEDSTAR GOOD SAMARITAN HOSPITAL,MD,COPD,202.0,1.05,22.74,21.69,49,07/01/2020,06/30/2023,0.6404142634975425,2.372968037788076,2.4162118135162443
ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,MD,Pneumonia,659.0,0.91,14.57,15.93,90,07/01/2020,06/30/2023,-1.5563035324197243,-1.2226008472613565,-0.6688105243400626
ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,MD,COPD,140.0,0.96,18.76,19.46,24,07/01/2020,06/30/2023,-0.7717614624492729,0.621393476894963,1.221836845908681
ADVENTIST HEALTHCARE FORT WASHINGTON MEDICAL CTR,MD,Pneumonia,169.0,1.05,15.27,14.55,29,07/01/2020,06/30/2023,0.6404142634975425,-0.9145349697173417,-1.4079304594514688
ATLANTIC GENERAL HOSPITAL,MD,Pneumonia,311.0,1.02,14.76,14.52,47,07/01/2020,06/30/2023,0.16968902151527065,-1.1389829662136954,-1.4239982841278043
ATLANTIC GENERAL HOSPITAL,MD,COPD,166.0,1.01,16.42,16.21,28,07/01/2020,06/30/2023,0.012780607521180043,-0.40842674232360165,-0.5188441606942693
MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,MD,Pneumonia,369.0,0.98,17.17,17.51,62,07/01/2020,06/30/2023,-0.45794463446109174,-0.07835615924072833,0.17742824194691123
MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,MD,COPD,155.0,1.03,21.49,20.93,35,07/01/2020,06/30/2023,0.32659743550936127,1.8228503993166205,2.009160255049092
UNIVERSITY OF MD ST JOSEPH MEDICAL CENTER,MD,Pneumonia,394.0,0.96,15.72,16.42,59,07/01/2020,06/30/2023,-0.7717614624492729,-0.7164926198676173,-0.4063693879599244
UNIVERSITY OF MD ST JOSEPH MEDICAL CENTER,MD,COPD,164.0,0.99,18.24,18.51,29,07/01/2020,06/30/2023,-0.3010362204670012,0.39254453929083616,0.7130223978247421
HOLY CROSS GERMANTOWN HOSPITAL,MD,Pneumonia,142.0,1.09,17.18,15.82,30,07/01/2020,06/30/2023,1.268047919473905,-0.07395521813295756,-0.7277258814866236
HOLY CROSS GERMANTOWN HOSPITAL,MD,COPD,82.0,1.01,20.95,20.68,18,07/01/2020,06/30/2023,0.012780607521180043,1.585199579496952,1.875261716079634
UMASS MEMORIAL HEALTHALLIANCE HOSPITALS,MA,Pneumonia,324.0,1.07,17.14,16.04,60,07/01/2020,06/30/2023,0.9542310914857236,-0.09155898256404377,-0.6098951671935015
UMASS MEMORIAL HEALTHALLIANCE HOSPITALS,MA,COPD,189.0,1.1,22.73,20.71,49,07/01/2020,06/30/2023,1.4249563334679953,2.368567096680305,1.8913295407559698
MOUNT AUBURN HOSPITAL,MA,Pneumonia,435.0,1.14,16.18,14.22,79,07/01/2020,06/30/2023,2.0525899894443542,-0.514049328910122,-1.584676530891153
MOUNT AUBURN HOSPITAL,MA,COPD,120.0,0.98,19.67,20.17,22,07/01/2020,06/30/2023,-0.45794463446109174,1.0218791177021826,1.6021086965819415
STURDY MEMORIAL HOSPITAL,MA,Pneumonia,663.0,1.17,17.98,15.32,130,07/01/2020,06/30/2023,2.523315231426626,0.2781200704887743,-0.9955229594255391
STURDY MEMORIAL HOSPITAL,MA,COPD,272.0,1.15,20.4,17.8,64,07/01/2020,06/30/2023,2.209498403438445,1.3431478185695114,0.3327505471514817
LAWRENCE GENERAL HOSPITAL,MA,Pneumonia,307.0,0.93,15.0,16.17,41,07/01/2020,06/30/2023,-1.242486704431543,-1.033360379627176,-0.5402679269293821
LAWRENCE GENERAL HOSPITAL,MA,COPD,157.0,1.05,19.74,18.8,34,07/01/2020,06/30/2023,0.6404142634975425,1.0526857054565828,0.8683447030293127
CAMBRIDGE HEALTH ALLIANCE,MA,Pneumonia,122.0,0.98,15.17,15.52,17,07/01/2020,06/30/2023,-0.45794463446109174,-0.958544380795058,-0.8884041282499733
CAMBRIDGE HEALTH ALLIANCE,MA,COPD,100.0,0.99,18.76,18.99,18,07/01/2020,06/30/2023,-0.3010362204670012,0.621393476894963,0.9701075926460992
CAPE COD HOSPITAL,MA,Pneumonia,1338.0,1.08,16.0,14.85,219,07/01/2020,06/30/2023,1.1111395054798143,-0.5932662688500114,-1.24725221268812
CAPE COD HOSPITAL,MA,COPD,271.0,1.07,18.32,17.06,54,07/01/2020,06/30/2023,0.9542310914857236,0.42775206815301015,-0.0635891281981142
"COOLEY DICKINSON HOSPITAL INC,THE",MA,Pneumonia,290.0,1.01,13.58,13.45,40,07/01/2020,06/30/2023,0.012780607521180043,-1.6582940169307494,-1.9970840309170834
"COOLEY DICKINSON HOSPITAL INC,THE",MA,COPD,114.0,1.03,15.88,15.37,20,07/01/2020,06/30/2023,0.32659743550936127,-0.6460775621432708,-0.9687432516316481
BAYSTATE FRANKLIN MEDICAL CENTER,MA,Pneumonia,194.0,1.02,14.9,14.65,30,07/01/2020,06/30/2023,0.16968902151527065,-1.0773697907048922,-1.3543710438636858
BAYSTATE FRANKLIN MEDICAL CENTER,MA,COPD,124.0,1.1,19.28,17.45,30,07/01/2020,06/30/2023,1.4249563334679953,0.8502424144990883,0.14529259259424016
CARNEY HOSPITAL,MA,Pneumonia,69.0,1.01,16.07,15.86,12,07/01/2020,06/30/2023,0.012780607521180043,-0.5624596810956098,-0.7063021152515109
UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL,MA,Pneumonia,250.0,1.1,15.94,14.53,46,07/01/2020,06/30/2023,1.4249563334679953,-0.6196719154966416,-1.418642342569026
UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL,MA,COPD,131.0,1.11,20.11,18.07,33,07/01/2020,06/30/2023,1.581864747462086,1.215520526444134,0.47736096923849586
SAINT ANNE'S HOSPITAL,MA,Pneumonia,454.0,1.06,16.51,15.55,79,07/01/2020,06/30/2023,0.797322677491633,-0.3688182723536569,-0.8723363035736378
SAINT ANNE'S HOSPITAL,MA,COPD,136.0,1.11,19.51,17.57,33,07/01/2020,06/30/2023,1.581864747462086,0.9514640599778363,0.2095638912995804
HOLYOKE MEDICAL CENTER,MA,Pneumonia,266.0,1.03,15.74,15.25,44,07/01/2020,06/30/2023,0.32659743550936127,-0.7076907376520741,-1.0330145503369874
HOLYOKE MEDICAL CENTER,MA,COPD,108.0,1.09,18.34,16.82,25,07/01/2020,06/30/2023,1.268047919473905,0.4365539503685532,-0.19213172560879277
ANNA JAQUES HOSPITAL,MA,Pneumonia,392.0,1.06,16.32,15.37,68,07/01/2020,06/30/2023,0.797322677491633,-0.4524361534013187,-0.9687432516316481
ANNA JAQUES HOSPITAL,MA,COPD,158.0,1.1,18.38,16.67,35,07/01/2020,06/30/2023,1.4249563334679953,0.45415771479963946,-0.27247084899046664
BAYSTATE WING HOSPITAL,MA,Pneumonia,261.0,0.98,14.65,14.92,37,07/01/2020,06/30/2023,-0.45794463446109174,-1.1873933183991832,-1.2097606217766717
BAYSTATE WING HOSPITAL,MA,COPD,144.0,1.0,19.47,19.48,28,07/01/2020,06/30/2023,-0.14412780647291057,0.9338602955467485,1.2325487290262376
BOSTON MEDICAL CENTER,MA,Pneumonia,162.0,1.02,18.87,18.49,32,07/01/2020,06/30/2023,0.16968902151527065,0.6698038290804509,0.7023105147071839
BOSTON MEDICAL CENTER,MA,COPD,105.0,1.01,21.05,20.75,23,07/01/2020,06/30/2023,0.012780607521180043,1.6292089905746692,1.9127533069910825
NORTHEAST HOSPITAL CORPORATION,MA,Pneumonia,837.0,0.98,15.43,15.71,128,07/01/2020,06/30/2023,-0.45794463446109174,-0.8441199119929953,-0.7866412386331848
NORTHEAST HOSPITAL CORPORATION,MA,COPD,222.0,1.01,17.39,17.28,39,07/01/2020,06/30/2023,0.012780607521180043,0.018464545130247343,0.0542415860950099
NORTH SHORE MEDICAL CENTER -,MA,Pneumonia,836.0,1.18,19.0,16.14,170,07/01/2020,06/30/2023,2.6802236454207167,0.7270160634814818,-0.5563357516057177
NORTH SHORE MEDICAL CENTER -,MA,COPD,268.0,0.97,19.71,20.28,51,07/01/2020,06/30/2023,-0.6148530484551824,1.039482882133269,1.6610240537285026
ST ELIZABETH'S MEDICAL CENTER,MA,Pneumonia,144.0,0.9,15.1,16.68,15,07/01/2020,06/30/2023,-1.7132119464138147,-0.9893509685494596,-0.2671149074316894
BERKSHIRE MEDICAL CENTER,MA,Pneumonia,692.0,0.92,16.15,17.58,106,07/01/2020,06/30/2023,-1.3993951184256337,-0.5272521522334375,0.21491983285835764
