Facility Name,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
SAINT ROSE DOMINICAN HOSPITALS - NORTH LAS VEGAS,NV,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
NORTHERN NEVADA SIERRA MEDICAL CENTER,NV,READM-30-PN-HRRP,,1.0651,15.3111,14.3748,Too Few to Report,07/01/2020,06/30/2023
NORTHERN NEVADA SIERRA MEDICAL CENTER,NV,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
CONCORD HOSPITAL,NH,READM-30-PN-HRRP,370.0,0.9653,14.6884,15.2167,52,07/01/2020,06/30/2023
CONCORD HOSPITAL,NH,READM-30-COPD-HRRP,184.0,0.9672,16.2989,16.8515,28,07/01/2020,06/30/2023
MARY HITCHCOCK MEMORIAL HOSPITAL,NH,READM-30-PN-HRRP,287.0,0.9991,16.0493,16.0638,46,07/01/2020,06/30/2023
MARY HITCHCOCK MEMORIAL HOSPITAL,NH,READM-30-COPD-HRRP,,0.9509,18.7489,19.7172,Too Few to Report,07/01/2020,06/30/2023
CONCORD HOSPITAL- LACONIA,NH,READM-30-PN-HRRP,246.0,0.9944,16.0079,16.0983,39,07/01/2020,06/30/2023
CONCORD HOSPITAL- LACONIA,NH,READM-30-COPD-HRRP,68.0,0.9869,17.3573,17.5877,11,07/01/2020,06/30/2023
ST JOSEPH HOSPITAL,NH,READM-30-PN-HRRP,286.0,0.9499,14.4806,15.2437,38,07/01/2020,06/30/2023
ST JOSEPH HOSPITAL,NH,READM-30-COPD-HRRP,109.0,0.952,16.5103,17.3428,15,07/01/2020,06/30/2023
ELLIOT HOSPITAL,NH,READM-30-PN-HRRP,438.0,1.0347,15.4649,14.9462,70,07/01/2020,06/30/2023
ELLIOT HOSPITAL,NH,READM-30-COPD-HRRP,150.0,0.9687,16.6067,17.1439,23,07/01/2020,06/30/2023
FRISBIE MEMORIAL HOSPITAL,NH,READM-30-PN-HRRP,111.0,1.087,14.8825,13.6908,22,07/01/2020,06/30/2023
FRISBIE MEMORIAL HOSPITAL,NH,READM-30-COPD-HRRP,,1.0366,15.4869,14.9394,Too Few to Report,07/01/2020,06/30/2023
PARKLAND MEDICAL CENTER,NH,READM-30-PN-HRRP,261.0,1.0388,16.638,16.0165,46,07/01/2020,06/30/2023
PARKLAND MEDICAL CENTER,NH,READM-30-COPD-HRRP,69.0,1.0369,15.7667,15.2055,13,07/01/2020,06/30/2023
WENTWORTH-DOUGLASS HOSPITAL,NH,READM-30-PN-HRRP,430.0,1.0545,16.3765,15.53,74,07/01/2020,06/30/2023
WENTWORTH-DOUGLASS HOSPITAL,NH,READM-30-COPD-HRRP,156.0,0.8822,14.3244,16.2378,15,07/01/2020,06/30/2023
CHESHIRE MEDICAL CENTER,NH,READM-30-PN-HRRP,216.0,0.9861,15.2466,15.4622,32,07/01/2020,06/30/2023
CHESHIRE MEDICAL CENTER,NH,READM-30-COPD-HRRP,,0.9101,17.6659,19.4113,Too Few to Report,07/01/2020,06/30/2023
SOUTHERN NH MEDICAL CENTER,NH,READM-30-PN-HRRP,358.0,0.9647,14.3518,14.8773,49,07/01/2020,06/30/2023
SOUTHERN NH MEDICAL CENTER,NH,READM-30-COPD-HRRP,99.0,1.061,16.6273,15.6712,20,07/01/2020,06/30/2023
EXETER HOSPITAL INC,NH,READM-30-PN-HRRP,319.0,0.9323,13.6679,14.6602,39,07/01/2020,06/30/2023
EXETER HOSPITAL INC,NH,READM-30-COPD-HRRP,113.0,1.0165,17.711,17.4243,21,07/01/2020,06/30/2023
PORTSMOUTH REGIONAL HOSPITAL,NH,READM-30-PN-HRRP,254.0,1.0204,16.0005,15.6809,42,07/01/2020,06/30/2023
PORTSMOUTH REGIONAL HOSPITAL,NH,READM-30-COPD-HRRP,97.0,1.029,17.7957,17.2945,19,07/01/2020,06/30/2023
CATHOLIC MEDICAL CENTER,NH,READM-30-PN-HRRP,321.0,0.9852,15.264,15.4935,48,07/01/2020,06/30/2023
CATHOLIC MEDICAL CENTER,NH,READM-30-COPD-HRRP,164.0,0.9951,17.8655,17.9531,29,07/01/2020,06/30/2023
HACKENSACK UNIVERSITY MEDICAL CENTER,NJ,READM-30-PN-HRRP,968.0,1.0084,20.1859,20.0187,196,07/01/2020,06/30/2023
HACKENSACK UNIVERSITY MEDICAL CENTER,NJ,READM-30-COPD-HRRP,204.0,0.9164,19.9151,21.7319,35,07/01/2020,06/30/2023
NEWARK BETH ISRAEL MEDICAL CENTER,NJ,READM-30-PN-HRRP,94.0,1.0535,19.4904,18.5015,22,07/01/2020,06/30/2023
NEWARK BETH ISRAEL MEDICAL CENTER,NJ,READM-30-COPD-HRRP,,0.9337,15.0777,16.1481,Too Few to Report,07/01/2020,06/30/2023
PALISADES MEDICAL CENTER,NJ,READM-30-PN-HRRP,279.0,1.0298,17.5496,17.0416,51,07/01/2020,06/30/2023
PALISADES MEDICAL CENTER,NJ,READM-30-COPD-HRRP,76.0,1.0129,21.2708,20.9989,17,07/01/2020,06/30/2023
HUNTERDON MEDICAL CENTER,NJ,READM-30-PN-HRRP,367.0,1.1537,18.8305,16.3213,79,07/01/2020,06/30/2023
HUNTERDON MEDICAL CENTER,NJ,READM-30-COPD-HRRP,106.0,1.0095,18.3163,18.1437,20,07/01/2020,06/30/2023
ST MARY'S GENERAL HOSPITAL,NJ,READM-30-PN-HRRP,145.0,1.0645,17.7315,16.6578,30,07/01/2020,06/30/2023
ST MARY'S GENERAL HOSPITAL,NJ,READM-30-COPD-HRRP,,1.0467,15.237,14.5569,Too Few to Report,07/01/2020,06/30/2023
HOLY NAME MEDICAL CENTER,NJ,READM-30-PN-HRRP,522.0,0.9991,15.9121,15.9265,83,07/01/2020,06/30/2023
HOLY NAME MEDICAL CENTER,NJ,READM-30-COPD-HRRP,132.0,0.9238,16.5082,17.8691,17,07/01/2020,06/30/2023
CLARA MAASS MEDICAL CENTER,NJ,READM-30-PN-HRRP,218.0,0.9676,16.6414,17.1992,34,07/01/2020,06/30/2023
CLARA MAASS MEDICAL CENTER,NJ,READM-30-COPD-HRRP,120.0,0.9611,17.0057,17.6934,18,07/01/2020,06/30/2023
UNIVERSITY MEDICAL CENTER OF PRINCETON AT PLAINSBORO,NJ,READM-30-PN-HRRP,317.0,0.9835,14.2272,14.4658,44,07/01/2020,06/30/2023
UNIVERSITY MEDICAL CENTER OF PRINCETON AT PLAINSBORO,NJ,READM-30-COPD-HRRP,142.0,1.0611,19.2515,18.1437,31,07/01/2020,06/30/2023
CAPE REGIONAL MEDICAL CENTER INC,NJ,READM-30-PN-HRRP,366.0,1.0578,15.9135,15.044,62,07/01/2020,06/30/2023
CAPE REGIONAL MEDICAL CENTER INC,NJ,READM-30-COPD-HRRP,250.0,1.0678,18.3787,17.2111,50,07/01/2020,06/30/2023
VALLEY HOSPITAL,NJ,READM-30-PN-HRRP,581.0,0.9068,14.7281,16.241,79,07/01/2020,06/30/2023
VALLEY HOSPITAL,NJ,READM-30-COPD-HRRP,208.0,0.9674,18.2926,18.9098,36,07/01/2020,06/30/2023
COOPER UNIVERSITY HOSPITAL,NJ,READM-30-PN-HRRP,264.0,1.0021,16.9902,16.954,45,07/01/2020,06/30/2023
COOPER UNIVERSITY HOSPITAL,NJ,READM-30-COPD-HRRP,116.0,1.0632,19.1557,18.0179,26,07/01/2020,06/30/2023
MORRISTOWN MEDICAL CENTER,NJ,READM-30-PN-HRRP,1034.0,0.9711,16.7329,17.2308,171,07/01/2020,06/30/2023
MORRISTOWN MEDICAL CENTER,NJ,READM-30-COPD-HRRP,284.0,1.0266,18.7922,18.3044,55,07/01/2020,06/30/2023
CAREPOINT HEALTH-CHRIST HOSPITAL,NJ,READM-30-PN-HRRP,69.0,1.0286,18.8795,18.3545,15,07/01/2020,06/30/2023
CAREPOINT HEALTH-CHRIST HOSPITAL,NJ,READM-30-COPD-HRRP,,0.9967,23.2239,23.3004,Too Few to Report,07/01/2020,06/30/2023
CHILTON MEDICAL CENTER,NJ,READM-30-PN-HRRP,497.0,0.8598,13.4812,15.6788,57,07/01/2020,06/30/2023
CHILTON MEDICAL CENTER,NJ,READM-30-COPD-HRRP,168.0,0.9726,17.6829,18.182,28,07/01/2020,06/30/2023
ST JOSEPH'S UNIVERSITY MEDICAL CENTER INC,NJ,READM-30-PN-HRRP,545.0,0.9669,17.4924,18.0905,93,07/01/2020,06/30/2023
ST JOSEPH'S UNIVERSITY MEDICAL CENTER INC,NJ,READM-30-COPD-HRRP,103.0,0.9902,21.001,21.2083,21,07/01/2020,06/30/2023
WEST JERSEY HOSPITAL,NJ,READM-30-PN-HRRP,1032.0,1.0723,16.8865,15.7476,179,07/01/2020,06/30/2023
WEST JERSEY HOSPITAL,NJ,READM-30-COPD-HRRP,466.0,1.0672,20.1566,18.8873,98,07/01/2020,06/30/2023
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,NJ,READM-30-PN-HRRP,238.0,1.0191,16.6829,16.3708,41,07/01/2020,06/30/2023
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,NJ,READM-30-COPD-HRRP,,0.9831,16.9697,17.2607,Too Few to Report,07/01/2020,06/30/2023
CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,NJ,READM-30-PN-HRRP,180.0,1.0369,19.6798,18.9792,38,07/01/2020,06/30/2023
CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,NJ,READM-30-COPD-HRRP,93.0,1.0325,20.3982,19.7569,21,07/01/2020,06/30/2023
TRINITAS REGIONAL MEDICAL CENTER,NJ,READM-30-PN-HRRP,117.0,1.0541,17.413,16.5197,24,07/01/2020,06/30/2023
TRINITAS REGIONAL MEDICAL CENTER,NJ,READM-30-COPD-HRRP,51.0,1.032,17.8247,17.2713,11,07/01/2020,06/30/2023
NEWTON MEDICAL CENTER,NJ,READM-30-PN-HRRP,481.0,0.9375,15.0347,16.0371,68,07/01/2020,06/30/2023
NEWTON MEDICAL CENTER,NJ,READM-30-COPD-HRRP,190.0,0.9805,16.9412,17.2784,31,07/01/2020,06/30/2023
VIRTUA OUR LADY OF LOURDES HOSPITAL,NJ,READM-30-PN-HRRP,164.0,1.0471,16.988,16.2244,31,07/01/2020,06/30/2023
VIRTUA OUR LADY OF LOURDES HOSPITAL,NJ,READM-30-COPD-HRRP,118.0,1.1333,20.417,18.015,32,07/01/2020,06/30/2023
DEBORAH HEART AND LUNG CENTER,NJ,READM-30-PN-HRRP,89.0,1.0559,18.2856,17.3179,20,07/01/2020,06/30/2023
DEBORAH HEART AND LUNG CENTER,NJ,READM-30-COPD-HRRP,,1.0063,19.0161,18.8961,Too Few to Report,07/01/2020,06/30/2023
INSPIRA MEDICAL CENTER VINELAND,NJ,READM-30-PN-HRRP,516.0,1.2089,20.4931,16.9523,119,07/01/2020,06/30/2023
INSPIRA MEDICAL CENTER VINELAND,NJ,READM-30-COPD-HRRP,332.0,1.1424,21.8593,19.1353,81,07/01/2020,06/30/2023
RIVERVIEW MEDICAL CENTER,NJ,READM-30-PN-HRRP,412.0,0.8555,14.4419,16.8812,49,07/01/2020,06/30/2023
RIVERVIEW MEDICAL CENTER,NJ,READM-30-COPD-HRRP,160.0,1.09,21.5764,19.7948,40,07/01/2020,06/30/2023
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,NJ,READM-30-PN-HRRP,551.0,1.0232,17.8601,17.4547,100,07/01/2020,06/30/2023
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,NJ,READM-30-COPD-HRRP,150.0,0.9888,17.7926,17.9949,26,07/01/2020,06/30/2023
RARITAN BAY MEDICAL CENTER,NJ,READM-30-PN-HRRP,444.0,1.0054,17.4836,17.3894,78,07/01/2020,06/30/2023
RARITAN BAY MEDICAL CENTER,NJ,READM-30-COPD-HRRP,194.0,1.0714,19.932,18.6033,43,07/01/2020,06/30/2023
CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,NJ,READM-30-PN-HRRP,67.0,1.0583,19.3048,18.2416,17,07/01/2020,06/30/2023
CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,NJ,READM-30-COPD-HRRP,,0.993,17.5162,17.6388,Too Few to Report,07/01/2020,06/30/2023
COMMUNITY MEDICAL CENTER,NJ,READM-30-PN-HRRP,1321.0,1.1719,19.4523,16.5985,268,07/01/2020,06/30/2023
COMMUNITY MEDICAL CENTER,NJ,READM-30-COPD-HRRP,434.0,1.1353,20.7455,18.2732,98,07/01/2020,06/30/2023
CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,NJ,READM-30-PN-HRRP,273.0,0.9355,13.6925,14.6366,33,07/01/2020,06/30/2023
CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,NJ,READM-30-COPD-HRRP,76.0,1.0387,17.9924,17.3223,16,07/01/2020,06/30/2023
ENGLEWOOD HOSPITAL AND MEDICAL CENTER,NJ,READM-30-PN-HRRP,598.0,1.0731,16.094,14.9974,101,07/01/2020,06/30/2023
ENGLEWOOD HOSPITAL AND MEDICAL CENTER,NJ,READM-30-COPD-HRRP,111.0,1.1453,21.1192,18.4392,32,07/01/2020,06/30/2023
SHORE MEDICAL CENTER,NJ,READM-30-PN-HRRP,444.0,1.0102,15.8369,15.6772,71,07/01/2020,06/30/2023
SHORE MEDICAL CENTER,NJ,READM-30-COPD-HRRP,106.0,1.0453,18.2127,17.4242,22,07/01/2020,06/30/2023
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL - SOMERSET,NJ,READM-30-PN-HRRP,618.0,1.1221,18.6185,16.5929,123,07/01/2020,06/30/2023
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL - SOMERSET,NJ,READM-30-COPD-HRRP,164.0,1.0259,17.3413,16.9029,30,07/01/2020,06/30/2023
SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,NJ,READM-30-PN-HRRP,507.0,1.0747,16.3991,15.2593,88,07/01/2020,06/30/2023
SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,NJ,READM-30-COPD-HRRP,121.0,0.9238,15.4888,16.7664,14,07/01/2020,06/30/2023
OVERLOOK MEDICAL CENTER,NJ,READM-30-PN-HRRP,716.0,0.8804,13.8911,15.7778,91,07/01/2020,06/30/2023
OVERLOOK MEDICAL CENTER,NJ,READM-30-COPD-HRRP,154.0,0.9092,16.0674,17.6718,19,07/01/2020,06/30/2023
OCEAN MEDICAL CENTER,NJ,READM-30-PN-HRRP,873.0,1.0371,17.925,17.2842,159,07/01/2020,06/30/2023
OCEAN MEDICAL CENTER,NJ,READM-30-COPD-HRRP,414.0,1.0122,19.6224,19.3858,82,07/01/2020,06/30/2023
HACKENSACK MERIDIAN MOUNTAINSIDE MEDICAL,NJ,READM-30-PN-HRRP,362.0,0.9898,16.4912,16.6609,59,07/01/2020,06/30/2023
HACKENSACK MERIDIAN MOUNTAINSIDE MEDICAL,NJ,READM-30-COPD-HRRP,147.0,1.0546,19.5186,18.5077,32,07/01/2020,06/30/2023
VIRTUA MOUNT HOLLY HOSPITAL,NJ,READM-30-PN-HRRP,431.0,1.0572,16.067,15.1973,73,07/01/2020,06/30/2023
VIRTUA MOUNT HOLLY HOSPITAL,NJ,READM-30-COPD-HRRP,180.0,1.0324,19.9917,19.3633,38,07/01/2020,06/30/2023
BERGEN NEW BRIDGE MEDICAL CENTER,NJ,READM-30-PN-HRRP,56.0,1.0361,17.0999,16.5034,12,07/01/2020,06/30/2023
BERGEN NEW BRIDGE MEDICAL CENTER,NJ,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
ST LUKE'S WARREN HOSPITAL,NJ,READM-30-PN-HRRP,203.0,1.0518,17.9968,17.111,40,07/01/2020,06/30/2023
ST LUKE'S WARREN HOSPITAL,NJ,READM-30-COPD-HRRP,108.0,1.046,20.4939,19.592,25,07/01/2020,06/30/2023
VIRTUA WILLINGBORO HOSPITAL,NJ,READM-30-PN-HRRP,114.0,1.0096,16.0987,15.9455,19,07/01/2020,06/30/2023
VIRTUA WILLINGBORO HOSPITAL,NJ,READM-30-COPD-HRRP,89.0,1.1419,22.0435,19.3048,28,07/01/2020,06/30/2023
ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,NJ,READM-30-PN-HRRP,550.0,0.9433,15.8093,16.7596,83,07/01/2020,06/30/2023
ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,NJ,READM-30-COPD-HRRP,193.0,1.042,19.9064,19.104,41,07/01/2020,06/30/2023
INSPIRA MEDICAL CENTER MULLICA HILL,NJ,READM-30-PN-HRRP,512.0,1.0207,15.7476,15.4285,82,07/01/2020,06/30/2023
INSPIRA MEDICAL CENTER MULLICA HILL,NJ,READM-30-COPD-HRRP,317.0,0.9906,18.4809,18.656,58,07/01/2020,06/30/2023
SAINT PETER'S UNIVERSITY HOSPITAL,NJ,READM-30-PN-HRRP,316.0,1.0792,16.7159,15.489,58,07/01/2020,06/30/2023
SAINT PETER'S UNIVERSITY HOSPITAL,NJ,READM-30-COPD-HRRP,118.0,0.9603,15.6158,16.2619,16,07/01/2020,06/30/2023
JERSEY SHORE UNIVERSITY MEDICAL CENTER,NJ,READM-30-PN-HRRP,789.0,1.0176,17.4641,17.1616,139,07/01/2020,06/30/2023
JERSEY SHORE UNIVERSITY MEDICAL CENTER,NJ,READM-30-COPD-HRRP,305.0,0.9704,19.9728,20.5828,59,07/01/2020,06/30/2023
JERSEY CITY MEDICAL CENTER,NJ,READM-30-PN-HRRP,148.0,0.9784,15.8627,16.2132,22,07/01/2020,06/30/2023
JERSEY CITY MEDICAL CENTER,NJ,READM-30-COPD-HRRP,63.0,1.0813,19.3182,17.8651,17,07/01/2020,06/30/2023
MONMOUTH MEDICAL CENTER,NJ,READM-30-PN-HRRP,235.0,1.1172,16.4202,14.698,46,07/01/2020,06/30/2023
MONMOUTH MEDICAL CENTER,NJ,READM-30-COPD-HRRP,98.0,1.011,17.6806,17.4885,18,07/01/2020,06/30/2023
COOPERMAN BARNABAS MEDICAL CENTER,NJ,READM-30-PN-HRRP,567.0,0.9805,15.2237,15.5261,85,07/01/2020,06/30/2023
COOPERMAN BARNABAS MEDICAL CENTER,NJ,READM-30-COPD-HRRP,140.0,1.0544,18.3836,17.4354,29,07/01/2020,06/30/2023
CAREWELL HEALTH MEDICAL CENTER,NJ,READM-30-PN-HRRP,88.0,1.1332,23.5009,20.739,30,07/01/2020,06/30/2023
CAREWELL HEALTH MEDICAL CENTER,NJ,READM-30-COPD-HRRP,,0.9967,19.4897,19.5547,Too Few to Report,07/01/2020,06/30/2023
MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,NJ,READM-30-PN-HRRP,421.0,1.1371,19.0184,16.7257,89,07/01/2020,06/30/2023
MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,NJ,READM-30-COPD-HRRP,80.0,1.0214,18.361,17.9764,16,07/01/2020,06/30/2023
JEFFERSON STRATFORD HOSPITAL,NJ,READM-30-PN-HRRP,631.0,1.1815,19.3955,16.4159,134,07/01/2020,06/30/2023
JEFFERSON STRATFORD HOSPITAL,NJ,READM-30-COPD-HRRP,407.0,1.1406,21.0494,18.4543,94,07/01/2020,06/30/2023
CAPITAL HEALTH REGIONAL MEDICAL CENTER,NJ,READM-30-PN-HRRP,129.0,0.9575,16.2467,16.9676,18,07/01/2020,06/30/2023
CAPITAL HEALTH REGIONAL MEDICAL CENTER,NJ,READM-30-COPD-HRRP,,0.9845,19.5901,19.8994,Too Few to Report,07/01/2020,06/30/2023
SAINT MICHAEL'S MEDICAL CENTER,NJ,READM-30-PN-HRRP,72.0,1.0122,18.2592,18.0389,14,07/01/2020,06/30/2023
SAINT MICHAEL'S MEDICAL CENTER,NJ,READM-30-COPD-HRRP,59.0,1.0203,21.5516,21.1218,14,07/01/2020,06/30/2023
JFK MEDICAL CENTER,NJ,READM-30-PN-HRRP,909.0,1.006,18.2163,18.1083,166,07/01/2020,06/30/2023
JFK MEDICAL CENTER,NJ,READM-30-COPD-HRRP,199.0,1.0211,19.9413,19.5301,41,07/01/2020,06/30/2023
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT HAMILTON,NJ,READM-30-PN-HRRP,357.0,1.1297,18.6418,16.502,75,07/01/2020,06/30/2023
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT HAMILTON,NJ,READM-30-COPD-HRRP,120.0,0.9615,16.9734,17.6536,18,07/01/2020,06/30/2023
CENTRASTATE MEDICAL CENTER,NJ,READM-30-PN-HRRP,678.0,1.0671,16.8999,15.8366,119,07/01/2020,06/30/2023
CENTRASTATE MEDICAL CENTER,NJ,READM-30-COPD-HRRP,253.0,1.0269,19.1074,18.6071,50,07/01/2020,06/30/2023
BAYSHORE MEDICAL CENTER,NJ,READM-30-PN-HRRP,475.0,1.063,20.34,19.1353,101,07/01/2020,06/30/2023
BAYSHORE MEDICAL CENTER,NJ,READM-30-COPD-HRRP,254.0,0.9615,19.0842,19.8482,46,07/01/2020,06/30/2023
SOUTHERN OCEAN MEDICAL CENTER,NJ,READM-30-PN-HRRP,454.0,0.9367,15.7352,16.799,67,07/01/2020,06/30/2023
SOUTHERN OCEAN MEDICAL CENTER,NJ,READM-30-COPD-HRRP,239.0,1.0228,17.8378,17.4409,44,07/01/2020,06/30/2023
HACKETTSTOWN MEDICAL CENTER,NJ,READM-30-PN-HRRP,285.0,1.1539,19.0077,16.4719,64,07/01/2020,06/30/2023
HACKETTSTOWN MEDICAL CENTER,NJ,READM-30-COPD-HRRP,97.0,0.9755,20.1701,20.6757,18,07/01/2020,06/30/2023
HUDSON REGIONAL HOSPITAL,NJ,READM-30-PN-HRRP,86.0,1.0331,14.8997,14.4224,15,07/01/2020,06/30/2023
HUDSON REGIONAL HOSPITAL,NJ,READM-30-COPD-HRRP,,1.002,17.7975,17.7614,Too Few to Report,07/01/2020,06/30/2023
THE UNIVERSITY HOSPITAL,NJ,READM-30-PN-HRRP,51.0,1.0241,18.2851,17.8547,11,07/01/2020,06/30/2023
THE UNIVERSITY HOSPITAL,NJ,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
HACKENSACK MERIDIAN HEALTH PASCACK VALLEY MEDICAL,NJ,READM-30-PN-HRRP,233.0,0.9056,14.4543,15.9617,27,07/01/2020,06/30/2023
HACKENSACK MERIDIAN HEALTH PASCACK VALLEY MEDICAL,NJ,READM-30-COPD-HRRP,,0.9653,16.8979,17.506,Too Few to Report,07/01/2020,06/30/2023
UNM HOSPITAL,NM,READM-30-PN-HRRP,143.0,0.9475,16.5812,17.4995,20,07/01/2020,06/30/2023
UNM HOSPITAL,NM,READM-30-COPD-HRRP,75.0,1.0043,19.639,19.554,15,07/01/2020,06/30/2023
CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,NM,READM-30-PN-HRRP,385.0,0.7803,11.466,14.6949,28,07/01/2020,06/30/2023
CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,NM,READM-30-COPD-HRRP,,0.9239,16.5762,17.9422,Too Few to Report,07/01/2020,06/30/2023
GERALD CHAMPION REGIONAL MEDICAL CENTER,NM,READM-30-PN-HRRP,144.0,0.9854,15.2631,15.4897,21,07/01/2020,06/30/2023
GERALD CHAMPION REGIONAL MEDICAL CENTER,NM,READM-30-COPD-HRRP,67.0,1.0119,18.3234,18.1073,13,07/01/2020,06/30/2023
SAN JUAN REGIONAL MEDICAL CENTER INC,NM,READM-30-PN-HRRP,331.0,0.9888,15.3334,15.5071,50,07/01/2020,06/30/2023
SAN JUAN REGIONAL MEDICAL CENTER INC,NM,READM-30-COPD-HRRP,152.0,1.0499,17.8028,16.9564,30,07/01/2020,06/30/2023
EASTERN NEW MEXICO MEDICAL CENTER,NM,READM-30-PN-HRRP,180.0,0.9789,15.2356,15.5638,26,07/01/2020,06/30/2023
EASTERN NEW MEXICO MEDICAL CENTER,NM,READM-30-COPD-HRRP,74.0,0.9944,16.6685,16.7626,12,07/01/2020,06/30/2023
LOVELACE MEDICAL CENTER,NM,READM-30-PN-HRRP,198.0,1.0651,17.5199,16.4497,39,07/01/2020,06/30/2023
LOVELACE MEDICAL CENTER,NM,READM-30-COPD-HRRP,,1.0064,16.965,16.8567,Too Few to Report,07/01/2020,06/30/2023
PRESBYTERIAN ESPANOLA HOSPITAL,NM,READM-30-PN-HRRP,,0.9639,12.268,12.7281,Too Few to Report,07/01/2020,06/30/2023
PRESBYTERIAN ESPANOLA HOSPITAL,NM,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
LOVELACE WOMEN'S HOSPITAL,NM,READM-30-PN-HRRP,,1.0147,12.8389,12.6529,Too Few to Report,07/01/2020,06/30/2023
LOVELACE WOMEN'S HOSPITAL,NM,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
MEMORIAL MEDICAL CENTER,NM,READM-30-PN-HRRP,185.0,1.0308,15.1295,14.678,30,07/01/2020,06/30/2023
MEMORIAL MEDICAL CENTER,NM,READM-30-COPD-HRRP,,0.9392,15.156,16.1365,Too Few to Report,07/01/2020,06/30/2023
PRESBYTERIAN HOSPITAL,NM,READM-30-PN-HRRP,689.0,0.9805,14.7037,14.996,100,07/01/2020,06/30/2023
PRESBYTERIAN HOSPITAL,NM,READM-30-COPD-HRRP,202.0,0.8768,14.753,16.8257,22,07/01/2020,06/30/2023
PLAINS REGIONAL MEDICAL CENTER,NM,READM-30-PN-HRRP,147.0,0.9412,13.6082,14.4581,16,07/01/2020,06/30/2023
PLAINS REGIONAL MEDICAL CENTER,NM,READM-30-COPD-HRRP,,1.0057,16.6503,16.5559,Too Few to Report,07/01/2020,06/30/2023
ARTESIA GENERAL HOSPITAL,NM,READM-30-PN-HRRP,,0.9751,13.6428,13.9913,Too Few to Report,07/01/2020,06/30/2023
ARTESIA GENERAL HOSPITAL,NM,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
LOS ALAMOS MEDICAL CENTER,NM,READM-30-PN-HRRP,,0.9847,12.0303,12.2168,Too Few to Report,07/01/2020,06/30/2023
LOS ALAMOS MEDICAL CENTER,NM,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
SANTA FE PHS INDIAN HOSPITAL,NM,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
SANTA FE PHS INDIAN HOSPITAL,NM,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
NORTHERN NAVAJO MEDICAL CENTER,NM,READM-30-PN-HRRP,,0.9948,12.6225,12.6881,Too Few to Report,07/01/2020,06/30/2023
NORTHERN NAVAJO MEDICAL CENTER,NM,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,NM,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,NM,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
GALLUP INDIAN MEDICAL CENTER,NM,READM-30-PN-HRRP,,0.9871,11.1781,11.3247,Too Few to Report,07/01/2020,06/30/2023
GALLUP INDIAN MEDICAL CENTER,NM,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
CROWNPOINT HEALTHCARE FACILITY,NM,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
CROWNPOINT HEALTHCARE FACILITY,NM,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
CARLSBAD MEDICAL CENTER,NM,READM-30-PN-HRRP,134.0,0.9856,14.1464,14.3526,18,07/01/2020,06/30/2023
